name,class,mass,fall,year,lat,long,GeoLocation
Acfer 213,L6,526,Found,1991,27.68111,4.30694,"(27.681110, 4.306940)"
Acfer 214,CH3,612,Found,1991,27.69,4.37861,"(27.690000, 4.378610)"
Acfer 215,L5,107,Found,1991,27.64028,4.17056,"(27.640280, 4.170560)"
Acfer 216,L6,293,Found,1991,27.59972,4.90361,"(27.599720, 4.903610)"
Acfer 217,R3.8-5,174,Found,1991,27.59444,3.88583,"(27.594440, 3.885830)"
Acfer 218,L6,114,Found,1991,27.54472,3.74306,"(27.544720, 3.743060)"
Acfer 219,H6,2611,Found,1991,27.52139,3.79139,"(27.521390, 3.791390)"
Acfer 220,H5,117,Found,1991,27.52417,3.79694,"(27.524170, 3.796940)"
Acfer 221,H5/6,812,Found,1991,27.5325,3.81361,"(27.532500, 3.813610)"
Acfer 222,H5/6,334,Found,1991,27.54194,3.82778,"(27.541940, 3.827780)"
Acfer 223,L/LL6,1398,Found,1991,27.54194,3.82778,"(27.541940, 3.827780)"
Acfer 224,H5/6,85,Found,1991,27.63889,3.93444,"(27.638890, 3.934440)"
Acfer 225,H3,255,Found,1991,27.64528,3.94389,"(27.645280, 3.943890)"
Acfer 226,H5,221,Found,1991,27.68444,3.99389,"(27.684440, 3.993890)"
Acfer 227,H6,78,Found,1991,27.66861,4.425,"(27.668610, 4.425000)"
Acfer 228,L5,2285,Found,1991,27.57389,4.11972,"(27.573890, 4.119720)"
Acfer 229,H5,325,Found,1991,27.82611,4.24611,"(27.826110, 4.246110)"
Acfer 230,H5,69,Found,1991,27.74056,4.30833,"(27.740560, 4.308330)"
Acfer 231,H4/5,218,Found,1991,27.73472,4.31611,"(27.734720, 4.316110)"
Acfer 232,H5,725,Found,1991,27.73944,4.32833,"(27.739440, 4.328330)"
Acfer 233,H5/6,242,Found,1991,27.71722,4.44806,"(27.717220, 4.448060)"
Acfer 234,"Iron, IAB-ung",621,Found,1991,27.50111,4.09861,"(27.501110, 4.098610)"
Acfer 235,H5,461,Found,1991,27.51889,4.01667,"(27.518890, 4.016670)"
Acfer 236,LL6,81,Found,1991,27.51056,3.89111,"(27.510560, 3.891110)"
Acfer 237,H3,673,Found,1991,27.49167,3.83278,"(27.491670, 3.832780)"
Acfer 238,H4/5,311,Found,1991,27.50361,3.67306,"(27.503610, 3.673060)"
Acfer 239,H6,160,Found,1991,27.48444,3.66639,"(27.484440, 3.666390)"
Acfer 240,L6,342,Found,1991,27.49833,3.69444,"(27.498330, 3.694440)"
Acfer 241,L6,86,Found,1991,27.51583,3.72722,"(27.515830, 3.727220)"
Acfer 242,L6,318,Found,1991,27.52111,3.77333,"(27.521110, 3.773330)"
Acfer 244,H6,2045,Found,1991,27.52472,3.80972,"(27.524720, 3.809720)"
